_id,Composition,Reference,Is_Amorphous?,Casting,Type,Size_Measure,Size1,Size2,Characterization,From,Tg_[K],Tl_[K],DOI,Dmax_[mm],Tx_[K],Tm_[K],Melting,Environment,Sigma_[Mpa],Zmax_[mm],E_[GPA],Possion's_Ratio,v,Rc_[K/s],Fracture_Strength_[MPa],G_[GPa],Density_[g/cm^3]
60490a203e6da430a7211af7,Al10Co30Gd60,"Chen, L.Y., Hu, H.T., Zhang, G.Q., Jiang, J.Z.: J. Alloys Compd. (2007) 109-113.",AM,Melt Casting,Rod,,,,,Carter,565.0,,10.1016/j.jallcom.2007.02.114,2.0,605.0,925.0,,,,,60.0,,,,1180.0,,
60490a203e6da430a7211af8,Al10Co30Nd60,"Qiu, K.Q., Zhang, H.F., Wang, A.M., Ding, B.Z., Hu, Z.Q.: Acta Materialia 50 (2002) 3567–3578.",AM,,,,,,,Carter,489.0,,10.1016/S1359-6454(02)00156-8,,516.0,,,,,,,,,,,,
60490a203e6da430a7211af9,Al10Co5Fe20Nd65,"Mingxiang, P., Bingchen, W., Lei, X., Weihua, W., Deqian, Z., Zhi, Z., Shan, H.B.: Intermetallics 10 (2002)1215–1219.",AM,Melt Casting,Rod,,,,,Carter,,,10.1016/S0966-9795(02)00147-4,,,,,,,,,,,,,,
60490a203e6da430a7211afa,Al10Cu10La80,"Inoue, A., Yamaguchi, H., Zhang, T., Masumoto, T.: Mater. Trans. JIM 31 (1990) 104-109.",CR,Melt Spinning,Ribbon,Width X Thickness,1,0.02,AXS  SEM  XRD,Carter,,,10.2320/matertrans1989.31.104,,,,Radio Frequency Melting,Ar-gas,,,,,,,,,
60490a203e6da430a7211afb,Al10Cu10Ni20Pr60,"Meng, Q.G., Zhang, S.G., Li, J.G.: Journal of Alloys and Compounds 452 (2008) 273–278.",AM,Melt Casting,Rod,,,,,Carter,413.9,,10.1016/j.jallcom.2006.11.007,,449.0,,,,,,,,,,,,
60490a203e6da430a7211afc,Al10Cu10Ti80,"Aoki, K., Masumoto, T.: MRS Int. Meet. Advanced Materials 3 (1989) 393-398.",CR,Melt Spinning,Ribbon,,,,XRD,Carter,,,,,,,Arc Melting,Ar-gas,,,,,,,,,
60490a203e6da430a7211afd,Al10Cu15.4Nb5Ni12.6Zr57,,,,,,,,,Lane,674.0,1115.0,10.1038/ncomms10313,20.0,,,,,,,,,,,,,
60490a203e6da430a7211afe,Al10Cu15.4Nb5Ni12.6Zr57,,,,,,,,,Ben,674.0,1115.0,10.1038/ncomms10313,,,,,,,,,,,,,,
60490a203e6da430a7211aff,Al10Cu15Ni10Zr65,"Kawamura, Y., Nakamura, T., Kato, H., Mano, H., Inoue, A.: Materials Science and Engineering A. 304–306-2001674–678.",AM,,,,,,,Carter,652.0,,,,757.0,1121.0,,,930.0,,117.0,25.0,,,,,
60490a203e6da430a7211b00,Al10Cu17.9Ni14.6Ti5Zr52.5,,,,,,,,,Lane,661.0,1091.0,10.1038/ncomms10313,18.0,,,,,,,,,,,,,
